"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1","Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Estado do sistema de combustível,Carga calculada do motor,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,Ajuste de combustível de longo prazo - Banco 1,Pressão no coletor de admissão - MAP,Tensão do módulo,Rotação do motor - RPM,Carga absoluta do motor,Posição relativa da borboleta - TPS,Temperatura do ar admitido - ACT,Temperatura do ar ambiente,Posição absoluta da borboleta - Sensor B,Posição absoluta da borboleta - TPS,Nº de falhas na memória,Altitude
0.62 V,-3 %,0.09 V,,,22 %,88 °C,,,,,652 rpm,,,,,,,,2 m
0.55 V,-3 %,0.08 V,,,22 %,89 °C,,,,,654 rpm,,,,,,,,2 m
0.19 V,-2 %,0.07 V,,,22 %,89 °C,,,,,663 rpm,,,,,,,,2 m
0.10 V,-2 %,0.07 V,,,22 %,88 °C,,,,,657 rpm,,,,,,,,2 m
0.09 V,-1 %,0.07 V,,,22 %,89 °C,,,,,649 rpm,,,,,,,,2 m
0.09 V,-1 %,0.07 V,,,22 %,88 °C,,,,,651 rpm,,,,,,,,2 m
0.08 V,-1 %,0.07 V,,,22 %,89 °C,,,,,670 rpm,,,,,,,,2 m
0.09 V,0 %,0.07 V,,,22 %,89 °C,,,,,676 rpm,,,,,,,,2 m
0.09 V,0 %,0.07 V,,,23 %,89 °C,,,,,646 rpm,,,,,,,,2 m
0.09 V,0 %,0.07 V,,,23 %,89 °C,,,,,673 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,23 %,89 °C,,,,,665 rpm,,,,,,,,2 m
0.11 V,1 %,0.08 V,,,22 %,89 °C,,,,,659 rpm,,,,,,,,2 m
0.11 V,2 %,0.08 V,,,22 %,90 °C,,,,,658 rpm,,,,,,,,2 m
0.14 V,2 %,0.08 V,,,22 %,89 °C,,,,,660 rpm,,,,,,,,2 m
0.40 V,2 %,0.08 V,,,22 %,89 °C,,,,,674 rpm,,,,,,,,2 m
0.67 V,2 %,0.09 V,,,22 %,90 °C,,,,,671 rpm,,,,,,,,2 m
0.67 V,2 %,0.09 V,,,22 %,89 °C,,,,,643 rpm,,,,,,,,2 m
0.69 V,2 %,0.09 V,,,23 %,89 °C,,,,,655 rpm,,,,,,,,2 m
0.70 V,2 %,0.09 V,,,23 %,89 °C,,,,,656 rpm,,,,,,,,2 m
0.71 V,2 %,0.10 V,,,22 %,89 °C,,,,,653 rpm,,,,,,,,2 m
0.72 V,2 %,0.20 V,,,22 %,89 °C,,,,,667 rpm,,,,,,,,2 m
0.74 V,0 %,0.62 V,,,22 %,90 °C,,,,,639 rpm,,,,,,,,2 m
0.75 V,0 %,0.66 V,,,22 %,90 °C,,,,,650 rpm,,,,,,,,2 m
0.75 V,-1 %,0.66 V,,,23 %,90 °C,,,,,671 rpm,,,,,,,,2 m
0.75 V,-1 %,0.62 V,,,22 %,89 °C,,,,,665 rpm,,,,,,,,2 m
0.75 V,-2 %,0.61 V,,,22 %,90 °C,,,,,645 rpm,,,,,,,,2 m
0.75 V,-2 %,0.57 V,,,21 %,90 °C,,,,,644 rpm,,,,,,,,2 m
0.73 V,-2 %,0.19 V,,,22 %,90 °C,,,,,667 rpm,,,,,,,,2 m
0.71 V,-2 %,0.09 V,,,22 %,90 °C,,,,,673 rpm,,,,,,,,2 m
0.66 V,-2 %,0.08 V,,,22 %,90 °C,,,,,664 rpm,,,,,,,,2 m
0.62 V,-2 %,0.08 V,,,22 %,90 °C,,,,,643 rpm,,,,,,,,2 m
0.60 V,-3 %,0.07 V,,,22 %,90 °C,,,,,636 rpm,,,,,,,,2 m
0.56 V,-3 %,0.07 V,,,22 %,90 °C,,,,,651 rpm,,,,,,,,2 m
0.13 V,-2 %,0.07 V,,,22 %,90 °C,,,,,663 rpm,,,,,,,,2 m
0.09 V,-1 %,0.06 V,,,22 %,90 °C,,,,,665 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,22 %,90 °C,,,,,654 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,22 %,90 °C,,,,,677 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,90 °C,,,,,657 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,90 °C,,,,,652 rpm,,,,,,,,2 m
0.08 V,1 %,0.07 V,,,22 %,90 °C,,,,,656 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,22 %,90 °C,,,,,667 rpm,,,,,,,,2 m
0.09 V,2 %,0.07 V,,,22 %,90 °C,,,,,672 rpm,,,,,,,,2 m
0.11 V,2 %,0.07 V,,,22 %,90 °C,,,,,665 rpm,,,,,,,,2 m
0.13 V,2 %,0.08 V,,,22 %,90 °C,,,,,662 rpm,,,,,,,,2 m
0.14 V,2 %,0.08 V,,,22 %,90 °C,,,,,670 rpm,,,,,,,,2 m
0.33 V,2 %,0.09 V,,,22 %,90 °C,,,,,659 rpm,,,,,,,,2 m
0.67 V,2 %,0.09 V,,,22 %,90 °C,,,,,637 rpm,,,,,,,,2 m
0.71 V,2 %,0.15 V,,,22 %,90 °C,,,,,661 rpm,,,,,,,,2 m
0.72 V,2 %,0.58 V,,,22 %,90 °C,,,,,672 rpm,,,,,,,,2 m
0.74 V,2 %,0.62 V,,,22 %,90 °C,,,,,651 rpm,,,,,,,,2 m
0.75 V,2 %,0.67 V,,,22 %,90 °C,,,,,673 rpm,,,,,,,,2 m
0.75 V,2 %,0.68 V,,,22 %,90 °C,,,,,673 rpm,,,,,,,,2 m
0.75 V,1 %,0.67 V,,,22 %,90 °C,,,,,665 rpm,,,,,,,,2 m
0.76 V,0 %,0.67 V,,,22 %,90 °C,,,,,639 rpm,,,,,,,,2 m
0.76 V,0 %,0.69 V,,,22 %,90 °C,,,,,652 rpm,,,,,,,,2 m
0.76 V,0 %,0.69 V,,,22 %,90 °C,,,,,669 rpm,,,,,,,,2 m
0.76 V,-1 %,0.67 V,,,22 %,90 °C,,,,,669 rpm,,,,,,,,2 m
0.75 V,-1 %,0.65 V,,,22 %,90 °C,,,,,663 rpm,,,,,,,,2 m
0.74 V,-1 %,0.61 V,,,22 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.73 V,-2 %,0.46 V,,,22 %,90 °C,,,,,665 rpm,,,,,,,,2 m
0.72 V,-2 %,0.14 V,,,22 %,90 °C,,,,,646 rpm,,,,,,,,2 m
0.71 V,-2 %,0.10 V,,,22 %,90 °C,,,,,640 rpm,,,,,,,,2 m
0.70 V,-2 %,0.10 V,,,22 %,90 °C,,,,,665 rpm,,,,,,,,2 m
0.68 V,-2 %,0.09 V,,,22 %,90 °C,,,,,651 rpm,,,,,,,,2 m
0.66 V,-3 %,0.08 V,,,22 %,90 °C,,,,,662 rpm,,,,,,,,2 m
0.62 V,-3 %,0.08 V,,,22 %,90 °C,,,,,674 rpm,,,,,,,,2 m
0.50 V,-3 %,0.07 V,,,22 %,90 °C,,,,,658 rpm,,,,,,,,2 m
0.10 V,-2 %,0.07 V,,,22 %,90 °C,,,,,646 rpm,,,,,,,,2 m
0.09 V,-2 %,0.07 V,,,22 %,90 °C,,,,,646 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,22 %,90 °C,,,,,667 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,22 %,90 °C,,,,,672 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,23 %,90 °C,,,,,648 rpm,,,,,,,,2 m
0.07 V,0 %,0.06 V,,,23 %,90 °C,,,,,646 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,23 %,90 °C,,,,,667 rpm,,,,,,,,2 m
0.08 V,1 %,0.06 V,,,23 %,90 °C,,,,,679 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,23 %,90 °C,,,,,642 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,23 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.09 V,2 %,0.07 V,,,23 %,90 °C,,,,,673 rpm,,,,,,,,2 m
0.10 V,2 %,0.07 V,,,23 %,90 °C,,,,,673 rpm,,,,,,,,2 m
0.12 V,2 %,0.07 V,,,23 %,90 °C,,,,,659 rpm,,,,,,,,2 m
0.11 V,2 %,0.08 V,,,22 %,90 °C,,,,,648 rpm,,,,,,,,2 m
0.24 V,2 %,0.08 V,,,22 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.69 V,2 %,0.09 V,,,22 %,90 °C,,,,,676 rpm,,,,,,,,2 m
0.70 V,2 %,0.09 V,,,22 %,90 °C,,,,,670 rpm,,,,,,,,2 m
0.71 V,2 %,0.11 V,,,22 %,90 °C,,,,,640 rpm,,,,,,,,2 m
0.73 V,2 %,0.15 V,,,22 %,90 °C,,,,,653 rpm,,,,,,,,2 m
0.74 V,2 %,0.39 V,,,22 %,90 °C,,,,,676 rpm,,,,,,,,2 m
0.74 V,2 %,0.65 V,,,22 %,90 °C,,,,,677 rpm,,,,,,,,2 m
0.75 V,1 %,0.67 V,,,23 %,90 °C,,,,,660 rpm,,,,,,,,2 m
0.75 V,1 %,0.67 V,,,23 %,90 °C,,,,,654 rpm,,,,,,,,2 m
0.76 V,0 %,0.68 V,,,23 %,90 °C,,,,,670 rpm,,,,,,,,2 m
0.77 V,0 %,0.71 V,,,23 %,90 °C,,,,,675 rpm,,,,,,,,2 m
0.76 V,0 %,0.72 V,,,24 %,90 °C,,,,,664 rpm,,,,,,,,2 m
0.75 V,-1 %,0.68 V,,,24 %,90 °C,,,,,670 rpm,,,,,,,,2 m
0.75 V,-1 %,0.65 V,,,23 %,90 °C,,,,,667 rpm,,,,,,,,2 m
0.76 V,-2 %,0.64 V,,,23 %,90 °C,,,,,670 rpm,,,,,,,,2 m
0.75 V,-2 %,0.60 V,,,23 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.73 V,-2 %,0.26 V,,,22 %,90 °C,,,,,649 rpm,,,,,,,,2 m
0.71 V,-2 %,0.08 V,,,22 %,90 °C,,,,,635 rpm,,,,,,,,2 m
0.68 V,-2 %,0.08 V,,,22 %,90 °C,,,,,653 rpm,,,,,,,,2 m
0.62 V,-2 %,0.07 V,,,22 %,90 °C,,,,,650 rpm,,,,,,,,2 m
0.47 V,-3 %,0.07 V,,,22 %,90 °C,,,,,656 rpm,,,,,,,,2 m
0.10 V,-1 %,0.07 V,,,22 %,90 °C,,,,,667 rpm,,,,,,,,2 m
0.08 V,-1 %,0.07 V,,,22 %,90 °C,,,,,672 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,22 %,90 °C,,,,,665 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,90 °C,,,,,659 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,90 °C,,,,,670 rpm,,,,,,,,2 m
0.08 V,0 %,0.07 V,,,22 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.08 V,0 %,0.07 V,,,22 %,90 °C,,,,,667 rpm,,,,,,,,2 m
0.08 V,1 %,0.07 V,,,22 %,90 °C,,,,,651 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,22 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.09 V,1 %,0.08 V,,,22 %,90 °C,,,,,677 rpm,,,,,,,,2 m
0.10 V,2 %,0.08 V,,,23 %,90 °C,,,,,652 rpm,,,,,,,,2 m
0.15 V,2 %,0.08 V,,,23 %,90 °C,,,,,640 rpm,,,,,,,,2 m
0.69 V,2 %,0.10 V,,,23 %,90 °C,,,,,661 rpm,,,,,,,,2 m
0.72 V,2 %,0.12 V,,,22 %,90 °C,,,,,667 rpm,,,,,,,,2 m
0.72 V,2 %,0.12 V,,,22 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.73 V,2 %,0.15 V,,,22 %,90 °C,,,,,656 rpm,,,,,,,,2 m
0.73 V,2 %,0.14 V,,,22 %,90 °C,,,,,662 rpm,,,,,,,,2 m
0.72 V,2 %,0.12 V,,,22 %,90 °C,,,,,667 rpm,,,,,,,,2 m
0.72 V,2 %,0.15 V,,,22 %,90 °C,,,,,659 rpm,,,,,,,,2 m
0.73 V,0 %,0.29 V,,,22 %,90 °C,,,,,657 rpm,,,,,,,,2 m
0.73 V,0 %,0.59 V,,,22 %,90 °C,,,,,660 rpm,,,,,,,,2 m
0.74 V,-1 %,0.62 V,,,22 %,90 °C,,,,,670 rpm,,,,,,,,2 m
0.73 V,-1 %,0.62 V,,,22 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.72 V,-1 %,0.58 V,,,23 %,90 °C,,,,,655 rpm,,,,,,,,2 m
0.70 V,-2 %,0.10 V,,,23 %,90 °C,,,,,656 rpm,,,,,,,,2 m
0.71 V,-2 %,0.09 V,,,23 %,90 °C,,,,,670 rpm,,,,,,,,2 m
0.71 V,-2 %,0.09 V,,,22 %,90 °C,,,,,673 rpm,,,,,,,,2 m
0.68 V,-2 %,0.08 V,,,22 %,90 °C,,,,,650 rpm,,,,,,,,2 m
0.63 V,-2 %,0.08 V,,,23 %,90 °C,,,,,630 rpm,,,,,,,,2 m
0.32 V,-1 %,0.07 V,,,24 %,90 °C,,,,,666 rpm,,,,,,,,2 m
0.10 V,-1 %,0.07 V,,,23 %,90 °C,,,,,675 rpm,,,,,,,,2 m
0.09 V,0 %,0.06 V,,,22 %,90 °C,,,,,650 rpm,,,,,,,,2 m
0.09 V,0 %,0.07 V,,,23 %,90 °C,,,,,674 rpm,,,,,,,,2 m
0.09 V,0 %,0.06 V,,,24 %,90 °C,,,,,669 rpm,,,,,,,,2 m
0.09 V,1 %,0.06 V,,,23 %,90 °C,,,,,652 rpm,,,,,,,,2 m
0.15 V,1 %,0.07 V,,,23 %,90 °C,,,,,647 rpm,,,,,,,,2 m
0.34 V,2 %,0.08 V,,,22 %,90 °C,,,,,668 rpm,,,,,,,,2 m
0.58 V,2 %,0.07 V,,,22 %,90 °C,,,,,672 rpm,,,,,,,,2 m
0.65 V,2 %,0.08 V,,,22 %,90 °C,,,,,669 rpm,,,,,,,,2 m
0.68 V,2 %,0.08 V,,,22 %,90 °C,,,,,658 rpm,,,,,,,,2 m
0.67 V,2 %,0.08 V,,,22 %,90 °C,,,,,648 rpm,,,,,,,,2 m
0.68 V,2 %,0.08 V,,,22 %,90 °C,,,,,664 rpm,,,,,,,,2 m
0.69 V,2 %,0.09 V,,,22 %,90 °C,,,,,674 rpm,,,,,,,,2 m
0.69 V,-1 %,0.10 V,,,22 %,90 °C,,,,,671 rpm,,,,,,,,2 m
0.69 V,-1 %,0.09 V,,,22 %,91 °C,,,,,641 rpm,,,,,,,,2 m
0.71 V,-1 %,0.11 V,,,22 %,90 °C,,,,,639 rpm,,,,,,,,2 m
0.70 V,-2 %,0.10 V,,,23 %,90 °C,,,,,670 rpm,,,,,,,,2 m
0.69 V,-2 %,0.09 V,,,23 %,90 °C,,,,,638 rpm,,,,,,,,2 m
0.69 V,-2 %,0.09 V,,,23 %,90 °C,,,,,630 rpm,,,,,,,,2 m
0.68 V,-2 %,0.08 V,,,23 %,90 °C,,,,,671 rpm,,,,,,,,2 m
0.63 V,-2 %,0.07 V,,,23 %,90 °C,,,,,662 rpm,,,,,,,,2 m
0.52 V,-2 %,0.07 V,,,23 %,91 °C,,,,,651 rpm,,,,,,,,2 m
0.25 V,-1 %,0.07 V,,,24 %,90 °C,,,,,641 rpm,,,,,,,,2 m
0.09 V,-1 %,0.07 V,,,24 %,91 °C,,,,,663 rpm,,,,,,,,2 m
0.07 V,0 %,0.06 V,,,23 %,90 °C,,,,,675 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,23 %,91 °C,,,,,664 rpm,,,,,,,,2 m
0.08 V,1 %,0.06 V,,,22 %,90 °C,,,,,658 rpm,,,,,,,,2 m
0.08 V,1 %,0.06 V,,,22 %,91 °C,,,,,648 rpm,,,,,,,,2 m
0.08 V,1 %,0.06 V,,,22 %,91 °C,,,,,650 rpm,,,,,,,,2 m
0.09 V,2 %,0.07 V,,,22 %,91 °C,,,,,654 rpm,,,,,,,,2 m
0.09 V,2 %,0.07 V,,,22 %,90 °C,,,,,648 rpm,,,,,,,,2 m
0.09 V,2 %,0.07 V,,,22 %,91 °C,,,,,665 rpm,,,,,,,,2 m
0.11 V,2 %,0.08 V,,,22 %,90 °C,,,,,674 rpm,,,,,,,,2 m
0.19 V,2 %,0.08 V,,,22 %,90 °C,,,,,656 rpm,,,,,,,,2 m
0.69 V,2 %,0.09 V,,,22 %,90 °C,,,,,648 rpm,,,,,,,,2 m
0.73 V,2 %,0.12 V,,,22 %,91 °C,,,,,652 rpm,,,,,,,,2 m
0.73 V,2 %,0.19 V,,,22 %,91 °C,,,,,675 rpm,,,,,,,,2 m
0.74 V,2 %,0.58 V,,,22 %,90 °C,,,,,665 rpm,,,,,,,,2 m
0.75 V,2 %,0.65 V,,,22 %,91 °C,,,,,650 rpm,,,,,,,,2 m
0.75 V,2 %,0.66 V,,,22 %,91 °C,,,,,645 rpm,,,,,,,,2 m
0.76 V,1 %,0.66 V,,,22 %,91 °C,,,,,676 rpm,,,,,,,,2 m
0.76 V,1 %,0.67 V,,,22 %,91 °C,,,,,675 rpm,,,,,,,,2 m
0.76 V,0 %,0.68 V,,,24 %,91 °C,,,,,636 rpm,,,,,,,,2 m
0.76 V,0 %,0.67 V,,,24 %,91 °C,,,,,671 rpm,,,,,,,,2 m
0.77 V,0 %,0.69 V,,,24 %,91 °C,,,,,671 rpm,,,,,,,,2 m
0.77 V,-1 %,0.69 V,,,24 %,91 °C,,,,,657 rpm,,,,,,,,2 m
0.76 V,-1 %,0.67 V,,,23 %,91 °C,,,,,670 rpm,,,,,,,,2 m
0.75 V,-1 %,0.61 V,,,23 %,91 °C,,,,,678 rpm,,,,,,,,2 m
0.72 V,-2 %,0.24 V,,,23 %,91 °C,,,,,661 rpm,,,,,,,,2 m
0.69 V,-2 %,0.09 V,,,23 %,91 °C,,,,,645 rpm,,,,,,,,2 m
0.66 V,-2 %,0.08 V,,,23 %,91 °C,,,,,651 rpm,,,,,,,,2 m
0.63 V,-2 %,0.07 V,,,22 %,91 °C,,,,,655 rpm,,,,,,,,2 m
0.46 V,-2 %,0.07 V,,,22 %,91 °C,,,,,658 rpm,,,,,,,,2 m
0.10 V,-1 %,0.06 V,,,22 %,91 °C,,,,,670 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,91 °C,,,,,662 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,91 °C,,,,,670 rpm,,,,,,,,2 m
0.07 V,0 %,0.06 V,,,22 %,91 °C,,,,,671 rpm,,,,,,,,2 m
0.08 V,1 %,0.06 V,,,22 %,91 °C,,,,,659 rpm,,,,,,,,2 m
0.08 V,1 %,0.07 V,,,22 %,92 °C,,,,,656 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,22 %,91 °C,,,,,645 rpm,,,,,,,,2 m
0.09 V,2 %,0.07 V,,,22 %,91 °C,,,,,667 rpm,,,,,,,,2 m
0.09 V,2 %,0.08 V,,,22 %,91 °C,,,,,651 rpm,,,,,,,,2 m
0.11 V,2 %,0.08 V,,,22 %,91 °C,,,,,669 rpm,,,,,,,,2 m
0.15 V,2 %,0.09 V,,,22 %,91 °C,,,,,677 rpm,,,,,,,,2 m
0.33 V,2 %,0.09 V,,,22 %,92 °C,,,,,651 rpm,,,,,,,,2 m
0.67 V,2 %,0.09 V,,,22 %,91 °C,,,,,639 rpm,,,,,,,,2 m
0.70 V,2 %,0.11 V,,,22 %,91 °C,,,,,660 rpm,,,,,,,,2 m
0.71 V,2 %,0.16 V,,,22 %,92 °C,,,,,673 rpm,,,,,,,,2 m
0.72 V,2 %,0.33 V,,,22 %,92 °C,,,,,662 rpm,,,,,,,,2 m
0.75 V,2 %,0.64 V,,,22 %,92 °C,,,,,653 rpm,,,,,,,,2 m
0.76 V,2 %,0.67 V,,,22 %,92 °C,,,,,666 rpm,,,,,,,,2 m
0.76 V,1 %,0.67 V,,,22 %,91 °C,,,,,673 rpm,,,,,,,,2 m
0.77 V,1 %,0.68 V,,,22 %,92 °C,,,,,667 rpm,,,,,,,,2 m
0.77 V,0 %,0.69 V,,,22 %,92 °C,,,,,648 rpm,,,,,,,,2 m
0.77 V,0 %,0.68 V,,,22 %,91 °C,,,,,669 rpm,,,,,,,,2 m
0.77 V,0 %,0.67 V,,,22 %,92 °C,,,,,663 rpm,,,,,,,,2 m
0.76 V,-1 %,0.65 V,,,22 %,92 °C,,,,,656 rpm,,,,,,,,2 m
0.74 V,-1 %,0.60 V,,,22 %,92 °C,,,,,657 rpm,,,,,,,,2 m
0.74 V,-2 %,0.54 V,,,22 %,92 °C,,,,,655 rpm,,,,,,,,2 m
0.73 V,-2 %,0.23 V,,,22 %,91 °C,,,,,655 rpm,,,,,,,,2 m
0.71 V,-2 %,0.09 V,,,22 %,92 °C,,,,,666 rpm,,,,,,,,2 m
0.67 V,-2 %,0.08 V,,,22 %,92 °C,,,,,661 rpm,,,,,,,,2 m
0.65 V,-2 %,0.08 V,,,22 %,92 °C,,,,,656 rpm,,,,,,,,2 m
0.60 V,-3 %,0.07 V,,,22 %,92 °C,,,,,662 rpm,,,,,,,,2 m
0.55 V,-3 %,0.07 V,,,22 %,92 °C,,,,,672 rpm,,,,,,,,2 m
0.15 V,-2 %,0.07 V,,,22 %,92 °C,,,,,662 rpm,,,,,,,,2 m
0.09 V,-2 %,0.07 V,,,22 %,92 °C,,,,,638 rpm,,,,,,,,2 m
0.09 V,-1 %,0.07 V,,,22 %,92 °C,,,,,658 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,23 %,92 °C,,,,,673 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,23 %,92 °C,,,,,668 rpm,,,,,,,,2 m
0.09 V,0 %,0.07 V,,,23 %,92 °C,,,,,660 rpm,,,,,,,,2 m
0.09 V,0 %,0.07 V,,,23 %,92 °C,,,,,650 rpm,,,,,,,,2 m
0.09 V,1 %,0.06 V,,,23 %,92 °C,,,,,677 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,23 %,92 °C,,,,,681 rpm,,,,,,,,2 m
0.11 V,2 %,0.07 V,,,23 %,92 °C,,,,,671 rpm,,,,,,,,2 m
0.10 V,2 %,0.07 V,,,23 %,92 °C,,,,,662 rpm,,,,,,,,2 m
0.12 V,2 %,0.08 V,,,22 %,92 °C,,,,,645 rpm,,,,,,,,2 m
0.48 V,2 %,0.08 V,,,22 %,92 °C,,,,,643 rpm,,,,,,,,2 m
0.70 V,2 %,0.08 V,,,22 %,92 °C,,,,,656 rpm,,,,,,,,2 m
0.70 V,2 %,0.09 V,,,22 %,92 °C,,,,,673 rpm,,,,,,,,2 m
0.69 V,2 %,0.09 V,,,22 %,92 °C,,,,,676 rpm,,,,,,,,2 m
0.71 V,2 %,0.10 V,,,22 %,92 °C,,,,,663 rpm,,,,,,,,2 m
0.71 V,2 %,0.12 V,,,22 %,92 °C,,,,,655 rpm,,,,,,,,2 m
0.72 V,2 %,0.13 V,,,22 %,92 °C,,,,,652 rpm,,,,,,,,2 m
0.74 V,0 %,0.24 V,,,22 %,92 °C,,,,,670 rpm,,,,,,,,2 m
0.75 V,0 %,0.64 V,,,22 %,92 °C,,,,,668 rpm,,,,,,,,2 m
0.75 V,0 %,0.67 V,,,22 %,92 °C,,,,,656 rpm,,,,,,,,2 m
0.75 V,-1 %,0.65 V,,,22 %,92 °C,,,,,644 rpm,,,,,,,,2 m
0.75 V,-1 %,0.64 V,,,22 %,92 °C,,,,,641 rpm,,,,,,,,2 m
0.73 V,-2 %,0.58 V,,,22 %,92 °C,,,,,671 rpm,,,,,,,,2 m
0.71 V,-2 %,0.17 V,,,22 %,92 °C,,,,,673 rpm,,,,,,,,2 m
0.71 V,-2 %,0.09 V,,,22 %,92 °C,,,,,663 rpm,,,,,,,,2 m
0.69 V,-2 %,0.09 V,,,22 %,92 °C,,,,,660 rpm,,,,,,,,2 m
0.65 V,-2 %,0.08 V,,,22 %,92 °C,,,,,662 rpm,,,,,,,,2 m
0.63 V,-3 %,0.08 V,,,22 %,92 °C,,,,,669 rpm,,,,,,,,2 m
0.58 V,-3 %,0.07 V,,,22 %,92 °C,,,,,660 rpm,,,,,,,,2 m
0.27 V,-2 %,0.07 V,,,22 %,92 °C,,,,,644 rpm,,,,,,,,2 m
0.10 V,-2 %,0.07 V,,,22 %,92 °C,,,,,651 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,22 %,92 °C,,,,,665 rpm,,,,,,,,2 m
0.08 V,-1 %,0.06 V,,,22 %,92 °C,,,,,668 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,92 °C,,,,,664 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,92 °C,,,,,641 rpm,,,,,,,,2 m
0.08 V,0 %,0.06 V,,,22 %,92 °C,,,,,665 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,22 %,92 °C,,,,,676 rpm,,,,,,,,2 m
0.09 V,1 %,0.07 V,,,22 %,92 °C,,,,,672 rpm,,,,,,,,2 m
0.09 V,2 %,0.08 V,,,22 %,92 °C,,,,,655 rpm,,,,,,,,2 m
0.11 V,2 %,0.08 V,,,22 %,92 °C,,,,,644 rpm,,,,,,,,2 m
0.28 V,2 %,0.09 V,,,22 %,92 °C,,,,,663 rpm,,,,,,,,2 m
0.68 V,2 %,0.09 V,,,22 %,92 °C,,,,,676 rpm,,,,,,,,2 m
0.70 V,2 %,0.09 V,,,22 %,92 °C,,,,,655 rpm,,,,,,,,2 m
0.72 V,2 %,0.13 V,,,22 %,92 °C,,,,,649 rpm,,,,,,,,2 m
0.73 V,2 %,0.44 V,,,22 %,92 °C,,,,,672 rpm,,,,,,,,2 m
0.74 V,2 %,0.63 V,,,22 %,92 °C,,,,,671 rpm,,,,,,,,2 m
0.75 V,2 %,0.67 V,,,23 %,92 °C,,,,,662 rpm,,,,,,,,2 m
0.76 V,0 %,0.68 V,,,23 %,92 °C,,,,,648 rpm,,,,,,,,2 m
0.77 V,0 %,0.69 V,,,23 %,92 °C,,,,,636 rpm,,,,,,,,2 m
0.77 V,-1 %,0.70 V,,,23 %,92 °C,,,,,660 rpm,,,,,,,,2 m
0.77 V,-1 %,0.69 V,,,22 %,92 °C,,,,,663 rpm,,,,,,,,2 m
0.77 V,-1 %,0.65 V,,,22 %,92 °C,,,,,657 rpm,,,,,,,,2 m
0.76 V,-2 %,0.62 V,,,22 %,92 °C,,,,,654 rpm,,,,,,,,2 m
0.75 V,-2 %,0.55 V,,,22 %,92 °C,,,,,649 rpm,,,,,,,,2 m
0.72 V,-2 %,0.13 V,,,22 %,92 °C,,,,,672 rpm,,,,,,,,2 m
0.71 V,-2 %,0.09 V,,,22 %,92 °C,,,,,665 rpm,,,,,,,,2 m
0.68 V,-2 %,0.09 V,,,22 %,92 °C,,,,,653 rpm,,,,,,,,2 m
0.66 V,-3 %,0.08 V,,,22 %,92 °C,,,,,653 rpm,,,,,,,,2 m
0.63 V,-3 %,0.08 V,,,22 %,92 °C,,,,,660 rpm,,,,,,,,2 m
0.43 V,-4 %,0.07 V,,,22 %,92 °C,,,,,665 rpm,,,,,,,,2 m
0.11 V,-2 %,0.07 V,,,22 %,92 °C,,,,,642 rpm,,,,,,,,2 m
0.10 V,-2 %,0.07 V,,,23 %,92 °C,,,,,649 rpm,,,,,,,,2 m
