"Sonda lambda - Banco 1, sensor 1","Ajuste de combustível de curto prazo - Banco 1, sensor 1","Sonda lambda - Banco 1, sensor 2",Pressão barométrica,Estado do sistema de combustível,Carga calculada do motor,Temperatura do líquido de arrefecimento do motor - CTS,Ajuste de combustível de curto prazo - Banco 1,Ajuste de combustível de longo prazo - Banco 1,Pressão no coletor de admissão - MAP,Tensão do módulo,Rotação do motor - RPM,Carga absoluta do motor,Posição relativa da borboleta - TPS,Temperatura do ar admitido - ACT,Temperatura do ar ambiente,Posição absoluta da borboleta - Sensor B,Posição absoluta da borboleta - TPS,Nº de falhas na memória,Altitude
,,,,,,39 °C,-1 %,2 %,,,1575 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-2 %,2 %,,,1477 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-2 %,2 %,,,1387 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-2 %,2 %,,,1309 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-3 %,2 %,,,1252 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-3 %,2 %,,,1193 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-4 %,2 %,,,1149 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-4 %,2 %,,,1109 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-5 %,2 %,,,1088 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-5 %,2 %,,,1051 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-3 %,2 %,,,1011 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-3 %,2 %,,,982 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-2 %,2 %,,,967 rpm,,6 %,,,,,,10 m
,,,,,,39 °C,-2 %,2 %,,,1109 rpm,,7 %,,,,,,10 m
,,,,,,39 °C,-2 %,2 %,,,1302 rpm,,8 %,,,,,,10 m
,,,,,,39 °C,-1 %,2 %,,,1592 rpm,,9 %,,,,,,10 m
,,,,,,39 °C,0 %,2 %,,,1884 rpm,,10 %,,,,,,10 m
,,,,,,39 °C,2 %,2 %,,,2237 rpm,,10 %,,,,,,10 m
,,,,,,39 °C,3 %,2 %,,,2513 rpm,,10 %,,,,,,10 m
,,,,,,39 °C,4 %,2 %,,,2306 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,4 %,2 %,,,2198 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,0 %,2 %,,,1927 rpm,,5 %,,,,,,10 m
,,,,,,39 °C,0 %,2 %,,,1734 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,0 %,2 %,,,1574 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,0 %,2 %,,,1470 rpm,,5 %,,,,,,10 m
,,,,,,39 °C,-1 %,2 %,,,1402 rpm,,5 %,,,,,,10 m
,,,,,,39 °C,-1 %,2 %,,,1337 rpm,,5 %,,,,,,10 m
,,,,,,39 °C,-2 %,2 %,,,1291 rpm,,5 %,,,,,,10 m
,,,,,,39 °C,-2 %,2 %,,,1236 rpm,,5 %,,,,,,10 m
,,,,,,39 °C,-3 %,2 %,,,1184 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-3 %,2 %,,,1150 rpm,,4 %,,,,,,10 m
,,,,,,39 °C,-4 %,2 %,,,1126 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,-2 %,2 %,,,1083 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,-2 %,2 %,,,1053 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,-2 %,2 %,,,1034 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,-1 %,2 %,,,1015 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,0 %,2 %,,,987 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,0 %,2 %,,,960 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,1 %,2 %,,,943 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,1 %,2 %,,,919 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,2 %,2 %,,,888 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,2 %,2 %,,,878 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,2 %,2 %,,,856 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,2 %,2 %,,,844 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,3 %,2 %,,,839 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,3 %,2 %,,,826 rpm,,4 %,,,,,,10 m
,,,,,,40 °C,4 %,2 %,,,817 rpm,,4 %,,,,,,10 m
,,,,,,41 °C,4 %,2 %,,,818 rpm,,4 %,,,,,,10 m
,,,,,,41 °C,4 %,2 %,,,801 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,5 %,2 %,,,798 rpm,,4 %,,,,,,10 m
,,,,,,41 °C,5 %,2 %,,,793 rpm,,4 %,,,,,,10 m
,,,,,,41 °C,5 %,2 %,,,793 rpm,,4 %,,,,,,10 m
,,,,,,41 °C,5 %,2 %,,,780 rpm,,4 %,,,,,,10 m
,,,,,,41 °C,6 %,2 %,,,787 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,6 %,2 %,,,792 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,7 %,2 %,,,790 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,7 %,2 %,,,777 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,7 %,2 %,,,784 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,7 %,2 %,,,787 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,7 %,2 %,,,772 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,7 %,2 %,,,775 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,7 %,2 %,,,776 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,5 %,2 %,,,767 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,5 %,2 %,,,777 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,4 %,2 %,,,770 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,4 %,2 %,,,773 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,4 %,2 %,,,777 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,3 %,2 %,,,774 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,3 %,2 %,,,770 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,2 %,2 %,,,764 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,2 %,2 %,,,775 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,2 %,2 %,,,775 rpm,,3 %,,,,,,10 m
,,,,,,42 °C,2 %,2 %,,,769 rpm,,3 %,,,,,,10 m
,,,,,,42 °C,2 %,2 %,,,766 rpm,,3 %,,,,,,10 m
,,,,,,42 °C,1 %,2 %,,,775 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,1 %,2 %,,,774 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,1 %,2 %,,,771 rpm,,3 %,,,,,,10 m
,,,,,,42 °C,2 %,2 %,,,769 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,3 %,2 %,,,770 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,3 %,2 %,,,768 rpm,,3 %,,,,,,10 m
,,,,,,41 °C,4 %,2 %,,,772 rpm,,3 %,,,,,,10 m
